time,node,count,total_count,lambda,service_mode,seed
174,c,47,126,2,fixed,20260905
174,d,6,126,2,fixed,20260905
176,o,10,123,2,fixed,20260905
176,a,14,123,2,fixed,20260905
176,b,46,123,2,fixed,20260905
176,c,50,123,2,fixed,20260905
176,d,3,123,2,fixed,20260905
178,o,7,122,2,fixed,20260905
178,a,15,122,2,fixed,20260905
178,b,48,122,2,fixed,20260905
178,c,46,122,2,fixed,20260905
178,d,6,122,2,fixed,20260905
180,o,7,125,2,fixed,20260905
180,a,14,125,2,fixed,20260905
180,b,48,125,2,fixed,20260905
180,c,46,125,2,fixed,20260905
180,d,10,125,2,fixed,20260905
182,o,5,125,2,fixed,20260905
182,a,13,125,2,fixed,20260905
182,b,51,125,2,fixed,20260905
182,c,46,125,2,fixed,20260905
182,d,10,125,2,fixed,20260905
184,o,2,120,2,fixed,20260905
184,a,14,120,2,fixed,20260905
184,b,55,120,2,fixed,20260905
184,c,42,120,2,fixed,20260905
184,d,7,120,2,fixed,20260905
186,o,6,122,2,fixed,20260905
186,a,12,122,2,fixed,20260905
186,b,54,122,2,fixed,20260905
186,c,42,122,2,fixed,20260905
186,d,8,122,2,fixed,20260905
188,o,7,127,2,fixed,20260905
188,a,12,127,2,fixed,20260905
188,b,54,127,2,fixed,20260905
188,c,41,127,2,fixed,20260905
188,d,13,127,2,fixed,20260905
190,o,6,124,2,fixed,20260905
190,a,13,124,2,fixed,20260905
190,b,55,124,2,fixed,20260905
190,c,37,124,2,fixed,20260905
190,d,13,124,2,fixed,20260905
192,o,4,125,2,fixed,20260905
192,a,14,125,2,fixed,20260905
192,b,55,125,2,fixed,20260905
192,c,38,125,2,fixed,20260905
192,d,14,125,2,fixed,20260905
194,o,7,121,2,fixed,20260905
194,a,13,121,2,fixed,20260905
194,b,55,121,2,fixed,20260905
194,c,38,121,2,fixed,20260905
194,d,8,121,2,fixed,20260905
196,o,8,123,2,fixed,20260905
196,a,15,123,2,fixed,20260905
196,b,53,123,2,fixed,20260905
196,c,39,123,2,fixed,20260905
196,d,8,123,2,fixed,20260905
198,o,7,120,2,fixed,20260905
198,a,18,120,2,fixed,20260905
198,b,53,120,2,fixed,20260905
198,c,40,120,2,fixed,20260905
198,d,2,120,2,fixed,20260905
200,o,3,117,2,fixed,20260905
200,a,17,117,2,fixed,20260905
200,b,54,117,2,fixed,20260905
200,c,39,117,2,fixed,20260905
200,d,4,117,2,fixed,20260905
202,o,2,114,2,fixed,20260905
202,a,19,114,2,fixed,20260905
202,b,52,114,2,fixed,20260905
202,c,41,114,2,fixed,20260905
202,d,0,114,2,fixed,20260905
204,o,0,112,2,fixed,20260905
204,a,18,112,2,fixed,20260905
204,b,54,112,2,fixed,20260905
204,c,40,112,2,fixed,20260905
204,d,0,112,2,fixed,20260905
206,o,2,114,2,fixed,20260905
206,a,18,114,2,fixed,20260905
206,b,52,114,2,fixed,20260905
206,c,42,114,2,fixed,20260905
206,d,0,114,2,fixed,20260905
208,o,1,115,2,fixed,20260905
208,a,14,115,2,fixed,20260905
208,b,55,115,2,fixed,20260905
208,c,44,115,2,fixed,20260905
208,d,1,115,2,fixed,20260905
210,o,4,118,2,fixed,20260905
210,a,14,118,2,fixed,20260905
210,b,57,118,2,fixed,20260905
210,c,43,118,2,fixed,20260905
210,d,0,118,2,fixed,20260905
212,o,6,120,2,fixed,20260905
212,a,14,120,2,fixed,20260905
212,b,55,120,2,fixed,20260905
212,c,43,120,2,fixed,20260905
212,d,2,120,2,fixed,20260905
214,o,5,118,2,fixed,20260905
214,a,12,118,2,fixed,20260905
214,b,57,118,2,fixed,20260905
214,c,44,118,2,fixed,20260905
214,d,0,118,2,fixed,20260905
216,o,4,121,2,fixed,20260905
216,a,16,121,2,fixed,20260905
216,b,55,121,2,fixed,20260905
216,c,46,121,2,fixed,20260905
216,d,0,121,2,fixed,20260905
218,o,4,123,2,fixed,20260905
218,a,14,123,2,fixed,20260905
218,b,57,123,2,fixed,20260905
218,c,45,123,2,fixed,20260905
218,d,3,123,2,fixed,20260905
220,o,5,122,2,fixed,20260905
220,a,14,122,2,fixed,20260905
220,b,58,122,2,fixed,20260905
220,c,43,122,2,fixed,20260905
220,d,2,122,2,fixed,20260905
222,o,5,124,2,fixed,20260905
222,a,14,124,2,fixed,20260905
222,b,57,124,2,fixed,20260905
222,c,48,124,2,fixed,20260905
222,d,0,124,2,fixed,20260905
224,o,5,128,2,fixed,20260905
224,a,16,128,2,fixed,20260905
224,b,56,128,2,fixed,20260905
224,c,50,128,2,fixed,20260905
224,d,1,128,2,fixed,20260905
226,o,2,127,2,fixed,20260905
226,a,16,127,2,fixed,20260905
226,b,57,127,2,fixed,20260905
226,c,47,127,2,fixed,20260905
226,d,5,127,2,fixed,20260905
228,o,1,122,2,fixed,20260905
228,a,15,122,2,fixed,20260905
228,b,58,122,2,fixed,20260905
