time,node,count,total_count,lambda,service_mode,seed
5.3,b,71,300,100,proportional,20260904
5.3,c,64,300,100,proportional,20260904
5.3,d,49,300,100,proportional,20260904
5.35,o,65,302,100,proportional,20260904
5.35,a,51,302,100,proportional,20260904
5.35,b,71,302,100,proportional,20260904
5.35,c,61,302,100,proportional,20260904
5.35,d,54,302,100,proportional,20260904
5.4,o,64,305,100,proportional,20260904
5.4,a,54,305,100,proportional,20260904
5.4,b,71,305,100,proportional,20260904
5.4,c,63,305,100,proportional,20260904
5.4,d,53,305,100,proportional,20260904
5.45,o,64,304,100,proportional,20260904
5.45,a,52,304,100,proportional,20260904
5.45,b,68,304,100,proportional,20260904
5.45,c,64,304,100,proportional,20260904
5.45,d,56,304,100,proportional,20260904
5.5,o,60,303,100,proportional,20260904
5.5,a,55,303,100,proportional,20260904
5.5,b,70,303,100,proportional,20260904
5.5,c,65,303,100,proportional,20260904
5.5,d,53,303,100,proportional,20260904
5.55,o,61,304,100,proportional,20260904
5.55,a,54,304,100,proportional,20260904
5.55,b,70,304,100,proportional,20260904
5.55,c,65,304,100,proportional,20260904
5.55,d,54,304,100,proportional,20260904
5.6,o,60,300,100,proportional,20260904
5.6,a,51,300,100,proportional,20260904
5.6,b,69,300,100,proportional,20260904
5.6,c,66,300,100,proportional,20260904
5.6,d,54,300,100,proportional,20260904
5.65,o,64,308,100,proportional,20260904
5.65,a,51,308,100,proportional,20260904
5.65,b,71,308,100,proportional,20260904
5.65,c,65,308,100,proportional,20260904
5.65,d,57,308,100,proportional,20260904
5.7,o,61,309,100,proportional,20260904
5.7,a,52,309,100,proportional,20260904
5.7,b,76,309,100,proportional,20260904
5.7,c,65,309,100,proportional,20260904
5.7,d,55,309,100,proportional,20260904
5.75,o,57,306,100,proportional,20260904
5.75,a,53,306,100,proportional,20260904
5.75,b,75,306,100,proportional,20260904
5.75,c,70,306,100,proportional,20260904
5.75,d,51,306,100,proportional,20260904
5.8,o,55,307,100,proportional,20260904
5.8,a,49,307,100,proportional,20260904
5.8,b,79,307,100,proportional,20260904
5.8,c,71,307,100,proportional,20260904
5.8,d,53,307,100,proportional,20260904
5.85,o,57,310,100,proportional,20260904
5.85,a,49,310,100,proportional,20260904
5.85,b,76,310,100,proportional,20260904
5.85,c,72,310,100,proportional,20260904
5.85,d,56,310,100,proportional,20260904
5.9,o,60,314,100,proportional,20260904
5.9,a,51,314,100,proportional,20260904
5.9,b,70,314,100,proportional,20260904
5.9,c,76,314,100,proportional,20260904
5.9,d,57,314,100,proportional,20260904
5.95,o,59,316,100,proportional,20260904
5.95,a,54,316,100,proportional,20260904
5.95,b,70,316,100,proportional,20260904
5.95,c,77,316,100,proportional,20260904
5.95,d,56,316,100,proportional,20260904
6,o,57,320,100,proportional,20260904
6,a,59,320,100,proportional,20260904
6,b,68,320,100,proportional,20260904
6,c,74,320,100,proportional,20260904
